ENROLLMENT ID - BUYER,ENROLLMENT STATE - BUYER,PROVIDER TYPE CODE - BUYER,PROVIDER TYPE TEXT - BUYER,NPI - BUYER,MULTIPLE NPI FLAG - BUYER,CCN - BUYER,ASSOCIATE ID - BUYER,ORGANIZATION NAME - BUYER,DOING BUSINESS AS NAME - BUYER,CHOW TYPE CODE,CHOW TYPE TEXT,EFFECTIVE DATE,ENROLLMENT ID - SELLER,ENROLLMENT STATE - SELLER,PROVIDER TYPE CODE - SELLER,PROVIDER TYPE TEXT - SELLER,NPI - SELLER,MULTIPLE NPI FLAG - SELLER,CCN - SELLER,ASSOCIATE ID - SELLER,ORGANIZATION NAME - SELLER,DOING BUSINESS AS NAME - SELLER
O20161026001369,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720531502,N,395363,5294013207,GUARDIAN ELDER CARE AT WARREN LLC,KINZUA HEALTHCARE AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060407000645,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1982655189,N,395363,6800805607,GGNSC WARREN KINZUA VALLEY LP,GOLDEN LIVINGCENTER -  KINZUA
O20161026002626,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1194271569,N,395594,9537447578,GUARDIAN ELDER CARE AT OIL CITY LLC,OIL CITY HEALTHCARE AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060403000808,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1831140144,N,395594,0840208765,GGNSC OIL CITY LP,GOLDEN LIVINGCENTER - OIL CITY
O20161028000258,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932655305,N,395707,8628356557,GUARDIAN ELDER CARE AT CLARION LLC,CLARION HEALTHCARE AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060403000822,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477504850,N,395707,6002824935,GGNSC CLARION LP,GOLDEN LIVINGCENTER CLARION
O20161028000576,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154777357,N,055085,4082992920,MORAGAIDENCE OPCO LLC,MORAGA POST ACUTE,CH,CHANGE OF OWNERSHIP,2016-06-01,O20120430000746,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1225369002,N,055085,1850553306,"RHEEM VALLEY HEALTHCARE, LLC",GRACE HEALTHCARE OF MORAGA
O20161028000805,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821544297,N,395901,9830477678,GUARDIAN ELDER CARE AT TITUSVILLE LLC,TITUSVILLE HEALTHCARE AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060403000824,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184675381,N,395901,8820006752,GGNSC TITUSVILLE LP,GOLDEN LIVINGCENTER TITUSVILLE
O20161028000936,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1538612312,N,395675,8628356474,GUARDIAN ELDER CARE AT WAYNESBURG LLC,WAYNESBURG HEALTHCARE AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060405000635,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1568413946,N,395675,0547279333,GGNSC WAYNESBURG LP,GOLDEN LIVINGCENTER WAYNESBURG
O20161028001393,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093261463,N,395610,7214215078,GUARDIAN ELDER CARE AT JOHNSTOWN LLC,RICHLAND HEALTHCARE AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060403000811,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1740231059,N,395610,4385652205,GGNSC JOHNSTOWN LP,GOLDEN LIVINGCENTER RICHLAND
O20161101001619,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629189634,N,465084,6103916747,COUNTY OF DUCHESNE,UINTAH BASIN REHABILITATION AND SENIOR VILLA,CH,CHANGE OF OWNERSHIP,2016-05-31,O20040219000981,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629189634,N,465084,2365337177,BASIN CARE AND REHABILITATION CENTER,UINTAH BASIN REHABILITATION AND SENIOR VILLA
O20161102000924,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558717579,N,055049,7214215870,PLEASANT HILLIDENCE OPCO LLC,PLEASANT HILL POST ACUTE,CH,CHANGE OF OWNERSHIP,2016-06-01,O20120823000826,CA,00-17,PART A PROVIDER - RURAL HEALTH CLINIC,1336470111,N,055049,3678720737,OAK PARK HEALTHCARE LLC,GRACE HEALTHCARE OF PLEASANT HILL
O20161104000018,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184082828,N,105892,6204114796,"LAKE PARK OPERATIONS, LLC",LAKE PARK OF MADISON NURSING AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-07-01,O20110825000708,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1962498105,N,105892,8426228636,"MADISON HEALTH INVESTORS, LC",LAKE PARK OF MADISON
O20161104000997,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598214272,N,015375,6608154018,"ANNISTON HEALTH AND REHAB SERVICES, LLC",ANNISTON HEALTH AND REHAB SERVICES,CH,CHANGE OF OWNERSHIP,2016-12-01,O20080929000708,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376645218,N,015375,9537236831,"BECKWOOD MANOR, INC.",
O20161108001583,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1831644822,N,255175,9739468190,DIVERSICARE OF BROOKHAVEN LLC,DIVERSICARE OF BROOKHAVEN,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060406000409,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598716193,N,255175,7416966262,GGNSC BROOKHAVEN LLC,GOLDEN LIVINGCENTER BROOK MANOR
O20161109000994,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1457806440,N,255102,3577842889,DIVERSICARE OF RIPLEY LLC,DIVERSICARE OF RIPLEY,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060406000398,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770534398,N,255102,5799794541,GGNSC RIPLEY LLC,GOLDEN LIVINGCENTER RIPLEY
O20161109002185,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821542879,N,445145,3870872112,WATERS OF WINCHESTER LLC,,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060412000715,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487605200,N,445145,2769491174,GGNSC WINCHESTER LLC,GOLDEN LIVINGCENTER MOUNTAIN VIEW
O20161110000004,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558816546,N,255117,4981983244,DIVERSICARE OF EUPORA LLC,DIVERSICARE OF EUPORA,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060406000413,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619928207,N,255117,1052320801,GGNSC EUPORA LLC,GOLDEN LIVINGCENTER EUPORA
O20161110000198,WI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1306397625,N,525712,9931488202,CUMBERLAND CARE AND REHAB INC,CARE AND REHAB - CUMBERLAND,CH,CHANGE OF OWNERSHIP,2017-01-01,O20121127000688,WI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1275723041,N,525712,7719889203,CUMBERLAND MEMORIAL HOSPITAL INC,
O20161110000555,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558815514,N,445138,5698054864,THE WATERS OF UNION CITY LLC,,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000356,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093766818,N,445138,5294744926,GGNSC UNION CITY LLC,GOLDEN LIVINGCENTER UNION CITY
O20161110001003,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639624620,N,255118,4789963968,DIVERSICARE OF MERIDIAN LLC,DIVERSICARE OF MERIDIAN,CH,CHANGE OF OWNERSHIP,2016-10-01,O20070222000456,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1588758643,N,255118,2062467533,"BEVERLY ENTERPRISES - MISSISSIPPI, INC.",GOLDEN LIVINGCENTER - MERIDIAN
O20161110002142,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1699225169,N,335462,8123307345,"TCPRNC, LLC",THE PLAZA REHAB AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,2016-09-21,O20070425000104,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912072208,N,335462,8123938289,JEWISH HOME LIFECARE HARRY AND JEANETTE WEINBERG CAMPUS BRONX,W.K. NURSING HOME
O20161111000295,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1356895130,N,055461,0446539688,CALIFORNIA POST ACUTE LLC,CALIFORNIA POST ACUTE,CH,CHANGE OF OWNERSHIP,2016-06-09,O20090216000081,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1194877324,N,055461,5991860595,CALIFORNIA CONVALESCENT CENTER 1 INC,
O20161111001785,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1962955229,N,465069,2769376326,BEAVER VALLEY HOSPITAL,MT. OGDEN HEALTH AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-05-01,O20061002000111,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295768802,N,465069,1456356187,"WASHINGTON HEIGHTS HEALTHCARE, INC.",MT OGDEN HEALTH AND REHABILITATION CENTER
O20161111002032,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629527429,N,056288,5597044677,HANFORDIDENCE OPCO LLC,HANFORD POST ACUTE,CH,CHANGE OF OWNERSHIP,2017-01-01,O20111028000343,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1043316292,N,056288,3476562174,"MISSION MEDICAL ENTERPRISES, INC.",HANFORD NURSING & REHABILITATION CENTER
O20161114000384,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1275088916,N,056435,1951680057,HYDE PARK REHABILITATION CENTER LLC,HYDE PARK HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,2016-09-01,O20100119000175,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1689733453,N,056435,9537201223,"HYDE PARK CONVALESCENT HOSPITAL, INC.",HYDE PARK CONVALESCENT HOSPITAL
O20161115000122,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1982152187,N,105959,8527347582,RK3 LLC,KR AT COLLEGE HARBOR,CH,CHANGE OF OWNERSHIP,2016-11-01,O20140307000154,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1033141437,N,105959,6608811088,THE ALLEGRO AT COLLEGE HARBOR LLC,
O20161115001594,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1962955237,N,465109,2769376326,BEAVER VALLEY HOSPITAL,HOLLADAY HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,2016-05-01,O20070312000252,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1710040795,N,465109,3577666528,"OLYMPUS HEALTH, INC.",HOLLADAY HEALTHCARE CENTER
O20161115001787,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1518411586,N,445124,1557640554,WATERS OF GALLATIN LLC,,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000359,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1508818139,N,445124,8921017658,GGNSC GALLATIN BRANDYWOOD LLC,GOLDEN LIVINGCENTER BRANDYWOOD
O20161116000190,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1033184437,N,115106,1254628092,EFFINGHAM HOSPITAL INC,EFFINGHAM CARE AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-11-01,O20100316000775,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1033184437,N,115106,5395631915,EFFINGHAM HEALTH SYSTEM,EFFINGHAM COUNTY EXTENDED CARE
O20161116000821,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1831551514,N,345070,6305125345,DURHAM REHAB OPERATIONS LLC,DURHAM NURSING AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-09-28,O20120615000189,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1013283175,N,345070,1850555269,"HEALTHTIQUE DURHAM, LLC",DURHAM NURSING & REHABILITATION CENTER
O20161116001023,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1013184647,N,245257,5991084931,ST OTTOS CARE CENTER INC,,CH,CHANGE OF OWNERSHIP,2016-11-01,O20080903000597,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1013184647,N,245257,0143396846,KASKA INC,ST OTTO'S CARE CENTER
O20161117001422,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1588114284,N,335844,0840381927,THE BETHEL METHODIST HOME,BETHEL METHODIST HOME,CH,CHANGE OF OWNERSHIP,2016-10-31,O20021203000000,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1245227297,N,335844,7810805165,"HEBREW HOSPITAL SENIOR HOUSING, INC.",WESTCHESTER MEADOWS
O20161118001633,AZ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215383237,N,035107,2961781778,HAVEN OF PHOENIX LLC,,CH,CHANGE OF OWNERSHIP,2016-06-01,O20080218000361,AZ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1275712002,N,035107,5698858496,PHOENIX HEALTHCARE LLC,GRACE HEALTHCARE OF PHOENIX
O20161118002362,IL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1548719610,N,145659,8224317946,THE WATERFORD LLC,THE WATERFORD CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-11-01,O20070829000039,IL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821087008,N,145659,7618069188,WATERFORD NURSING & REHABILITATION CENTER INC,
O20161121001287,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1447705439,N,255105,6002195773,DIVERSICARE OF TUPELO LLC,DIVERSICARE OF TUPELO,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060406000404,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487605010,N,255105,0244249092,GGNSC TUPELO LLC,GOLDEN LIVINGCENTER -- TUPELO
O20161122000006,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1801341896,N,255109,0941589659,DIVERSICARE OF SOUTHAVEN LLC,DIVERSICARE OF SOUTHAVEN,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060406000425,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841241460,N,255109,5698784452,GGNSC SOUTHAVEN LLC,GOLDEN LIVINGCENTER SOUTHAVEN
O20161122000044,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1801345772,N,056350,6204115918,LAKE MERRITT HEALTHCARE CENTER LLC,,CH,CHANGE OF OWNERSHIP,2016-11-01,O20090623000560,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1275797409,N,056350,9537226691,LTP GENERATIONS LLC,OAKGROVE SPRINGS CARE CENTER
O20161122000542,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619427697,N,425407,4385952274,WELLMORE OF TEGA CAY LLC,,CH,CHANGE OF OWNERSHIP,2016-09-01,O20150925001004,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1992181812,N,425407,2961710850,CHP TEGA CAY SC TENANT CORP,
O20161123000150,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1336693357,N,445135,9537448105,WATERS OF CLINTON LLC,,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000343,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760433585,N,445135,5395754022,GGNSC CLINTON LLC,GOLDEN LIVINGCENTER WINDWOOD
O20161123001957,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1245786482,N,445030,3779862289,NHC-MAURY REGIONAL TRANSITIONAL CARE CENTER LLC,NHC-MAURY REGIONAL TRANSITIONAL CARE CENTER,CH,CHANGE OF OWNERSHIP,2017-01-01,O20080418000017,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1972549467,N,445030,9537247481,NHC HEALTHCARE-HILLVIEW LLC,NHC HEALTHCARE HILLVIEW
O20161128001107,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1205381373,N,265482,6406135946,N & R OF JEFFERSON CITY LLC,RIVER CITY LIVING COMMUNITY,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000314,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932159308,N,265482,2860401585,GGNSC JEFFERSON CITY LLC,GOLDEN LIVINGCENTER  - JEFFERSON CITY
O20161128002157,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083169072,N,255100,3173802642,DIVERSICARE OF TYLERTOWN LLC,DIVERSICARE OF TYLERTOWN,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060406000427,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396796918,N,255100,7315956174,GGNSC TYLERTOWN LLC,GOLDEN LIVINGCENTER TYLERTOWN
O20161129002116,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1740735422,N,265447,6901186444,N & R OF ANDERSON LLC,MCDONALD COUNTY LIVING CENTER,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000316,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215988712,N,265447,6305855024,GGNSC ANDERSON LLC,GOLDEN LIVING CENTER MCDONALD COUNTY
O20161130000542,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003361189,N,265393,1153601638,N & R OF BRANSON LLC,SHEPARD OF THE HILLS LIVING CENTER,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000332,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1881645208,N,265393,8123037850,GGNSC BRANSON LLC,GOLDEN LIVINGCENTER BRANSON
O20161130000570,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952856189,N,265535,8325328800,N & R OF GLASGOW LLC,GLASGOW GARDENS,CH,CHANGE OF OWNERSHIP,2016-09-01,O20070601000614,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1316994031,N,265535,9638277486,"COMMERCIAL MANAGEMENT, INC.",GOLDEN LIVINGCENTER - GLASGOW
O20161130001676,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1073068151,N,265225,1557641958,N & R OF ST JAMES LLC,ST. JAMES LIVING CENTER,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000320,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487605986,N,265225,8123037843,GGNSC ST. JAMES LLC,GOLDEN LIVINGCENTER ST JAMES
O20161130001812,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1316492481,N,265481,5890075295,N & R OF MEXICO LLC,PIN OAKS LIVING CENTER,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000325,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154372571,N,265481,2769491489,GGNSC MEXICO LLC,GOLDEN LIVING CENTER PIN OAKS
O20161130002505,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1508311747,N,265354,8820378243,N & R OF MARYVILLE LLC,,CH,CHANGE OF OWNERSHIP,2016-09-01,O20070514000655,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1902853658,N,265354,5991802712,BEVERLY ENTERPRISES - MISSOURI INC,GOLDEN LIVINGCENTER - MARYVILLE
O20161202000432,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1356893986,N,335775,1456631753,SBNH ACQUISITION LLC,BRONX GARDENS REHABILITATION AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,2016-11-01,O20100708000099,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1326025578,N,335775,9335270354,ST. BARNABAS NURSING HOME INC.,ST. BARNABAS REHABILITATION & CONTINUING CARE CENTER
O20161205001102,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1538614755,N,015209,3375823545,DIVERSICARE OF BESSEMER LLC,DIVERSICARE OF BESSEMER,CH,CHANGE OF OWNERSHIP,2016-11-01,O20060330000376,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215988159,N,015209,5698783728,GGNSC BESSEMER LLC,GOLDEN LIVINGCENTER MEADOWOOD
O20161205001386,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821543919,N,015196,2769762947,DIVERSICARE OF LANETT LLC,DIVERSICARE OF LANETT,CH,CHANGE OF OWNERSHIP,2016-11-01,O20060330000373,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1104877844,N,015196,1153339288,GGNSC LANETT LLC,GOLDEN LIVINGCENTER LANETT
O20161206000596,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1417402504,N,015159,4688954811,DIVERSICARE OF ONEONTA LLC,DIVERSICARE OF ONEONTA,CH,CHANGE OF OWNERSHIP,2016-11-01,O20060330000385,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1992756811,N,015159,9133137268,GGNSC ONEONTA LLC,GOLDEN LIVINGCENTER  - ONEONTA
O20161206001972,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1942755038,N,015189,7113207267,DIVERSICARE OF PELL CITY LLC,DIVERSICARE OF PELL CITY,CH,CHANGE OF OWNERSHIP,2016-11-01,O20070511000609,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1245286228,N,015189,8729185541,BEVERLY ENTERPRISES - ALABAMA INC,GOLDEN LIVINGCENTER - PELL CITY
O20161206001985,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1346795416,N,265209,1759661804,N & R OF NEW MADRID LLC,NEW MADRID LIVING CENTER,CH,CHANGE OF OWNERSHIP,2016-09-01,O20060407000300,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1508817925,N,265209,5698784312,GGNSC NEW MADRID LLC,GOLDEN LIVINGCENTER NEW MADRID
O20161206001991,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841745932,N,015376,2668752718,DIVERSICARE OF WINFIELD LLC,DIVERSICARE OF WINFIELD,CH,CHANGE OF OWNERSHIP,2016-11-01,O20060330000380,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1013968759,N,015376,3779591805,GGNSC WINFIELD LLC,GOLDEN LIVINGCENTER WINFIELD
O20161207002515,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1942605456,N,555808,5799065835,REHABILITATION CENTER OF SANTA MONICA OPERATING COMPANY LP,THE REHABILITATION CENTER OF SANTA MONICA,CH,CHANGE OF OWNERSHIP,2017-01-01,O20100809000414,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083687560,Y,555808,2860309721,GRANCARE LLC,THE REHABILITATION CENTER OF SANTA MONICA
O20161208000161,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1447708482,N,106068,2567498504,COMMUNITY SUPPORTS INC,LAKEVIEW TERRACE REHABILITATION AND HEALTH CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-12-31,O20050712000365,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639271349,N,106068,2860428802,LAKEVIEW TERRACE HEALTH CARE CENTER LLC,LAKEVIEW TERRACE-SKILLED NURSING FACILITY
O20161208001032,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003230590,N,055540,4385924349,SANTA MONICA OPERATING COMPANY LP,SANTA MONICA HEALTH CARE CENTER,CH,CHANGE OF OWNERSHIP,2017-01-01,O20101221001048,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720051295,N,055540,2860309721,GRANCARE LLC,SANTA MONICA HEALTH CARE CENTER
O20161209000366,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1194120600,N,056422,9335429356,FREMONT HEALTHCARE OPERATING COMPANY LP,FREMONT HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,2017-01-01,O20030714000028,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366414906,N,056422,2860309721,GRANCARE LLC,FREMONT HEALTHCARE CENTER
O20161209000815,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1306269386,N,055099,3779863709,CREEKSIDE OPERATING COMPANY LP,CREEKSIDE HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,2017-01-01,O20030714000007,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1811969355,N,055099,2860309721,GRANCARE LLC,CREEKSIDE HEALTHCARE CENTER
O20161209001731,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366997454,N,015040,8921388869,DIVERSICARE OF MONTGOMERY LLC,DIVERSICARE OF MONTGOMERY,CH,CHANGE OF OWNERSHIP,2016-11-01,O20060330000396,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1114978707,N,015040,1850309980,GGNSC MONTGOMERY LLC,GOLDEN LIVINGCENTER MONTGOMERY
O20161215000080,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1548716913,N,395335,2769762400,GUARDIAN ELDER CARE AT LEWISTOWN LLC,WILLIAM PENN HEALTHCARE AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-10-01,O20060403000798,PA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1750332086,N,395335,0941218861,GGNSC LEWISTOWN LP,GOLDEN LIVINGCENTER WILLIAM PENN
O20161216002052,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1306391495,N,015132,9739469388,DIVERSICARE OF OXFORD LLC,DIVERSICARE OF OXFORD,CH,CHANGE OF OWNERSHIP,2016-11-01,O20060330000350,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760433478,N,015132,8628086758,GGNSC OXFORD LLC,GOLDEN LIVINGCENTER-OXFORD
O20161216002200,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396290466,N,015063,5799065793,DIVERSICARE OF BOAZ LLC,DIVERSICARE OF BOAZ,CH,CHANGE OF OWNERSHIP,2016-11-01,O20060330000362,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1588615298,N,015063,2163430299,GGNSC BOAZ LLC,GOLDEN LIVINGCENTER BOAZ
O20161219000310,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1205299484,N,056195,5395025969,LA BREA REHABILITATION CENTER LLC,LA BREA REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-12-12,O20031008000028,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1023099108,N,056195,2264344142,"HANCOCK PARK REHABILITATION CENTER, LLC",THE REHABILITATION CENTER ON LA BREA
O20161219002206,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649725722,N,015032,2961783576,DIVERSICARE OF FOLEY LLC,DIVERSICARE OF FOLEY,CH,CHANGE OF OWNERSHIP,2016-11-01,O20060330000369,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1538110192,N,015032,9335157460,GGNSC FOLEY LLC,GOLDEN LIVINGCENTER FOLEY
