ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,NURSING HOME PROVIDER NAME,AFFILIATION ENTITY NAME,AFFILIATION ENTITY ID,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE
O20030730000032,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1053347674,N,115428,0547171225,OAKVIEW NURSING & REHABILITATION CENTER LLC,OAKVIEW HEALTH AND REHABILITATION,2003-03-13,GA,LLC,,N,OAKVIEW HEALTH AND REHABILITATION,"HEALTH SCHOLARSHIPS, INC.",256,960 HIGHLAND AVE,,SUMMERVILLE,GA,307471930
O20030730000036,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1447289640,N,115477,1254242936,CHAPLINWOOD NURSING HOME LLC,CHAPLINWOOD HEALTH AND REHABILITATION,2003-03-13,GA,LLC,,N,CHAPLINWOOD NURSING HOME,"HEALTH SCHOLARSHIPS, INC.",256,325 ALLEN MEMORIAL DR SW,,MILLEDGEVILLE,GA,310614405
O20030731000004,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093751976,N,115395,2062323751,WINTHROP MANOR NURSING HOME LLC,WINTHROP HEALTH AND REHABILITATION,2003-03-13,GA,LLC,,N,WINTHROP HEALTH AND REHABILITATION,"HEALTH SCHOLARSHIPS, INC.",256,12 CHATEAU DR SE,,ROME,GA,301617216
O20030731000008,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659307700,N,115358,7315858008,TREUTLEN COUNTY NURSING HOME LLC,TREUTLEN COUNTY HEALTH AND REHABILITATION,2003-03-13,GA,LLC,,N,TREUTLEN COUNTY HEALTH AND REHABILITATION,"HEALTH SCHOLARSHIPS, INC.",256,2249 COLLEGE ST,,SOPERTON,GA,304573627
O20030801000000,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063451953,N,185263,6204747991,"DAWSON POINTE, LLC",DAWSON SPRINGS HEALTH AND REHABILITATION CENTER,2003-05-13,KY,LLC,,P,DAWSON SPRINGS HEALTH AND REHABILITATION CENTER,,,213 WATER ST,,DAWSON SPRINGS,KY,424081727
O20030801000003,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1972549772,N,115473,7012828700,TRADITIONS HEALTH AND REHABILITATION CENTER LLC,TRADITIONS HEALTH AND REHABILITATION,2003-03-13,GA,LLC,,N,TRADITIONS HEALTH AND REHABILITATION,"HEALTH SCHOLARSHIPS, INC.",256,2816 EVANS MILL RD,,LITHONIA,GA,300587440
O20030801000017,MI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1801962097,N,235605,0244141943,CLIFFSIDE COMPANY LLC,COVENTRY HOUSE INN,1999-06-23,MI,LLC,,P,COVENTRY HOUSE INN,SYMPHONY CARE NETWORK,501,3905 LORRAINE PATH,,SAINT JOSEPH,MI,490858630
O20030804000018,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1134102809,N,555806,1153232863,GLENBROOK HC LLC,GLENBROOK HC LLC,2013-10-18,DE,LLC,,P,GLENBROOK,CONTINUING LIFE,160,1950 CALLE BARCELONA,,CARLSBAD,CA,920098401
O20030804000030,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659301869,N,165503,4587575204,GOOD NEIGHBOR SOCIETY,GOOD NEIGHBOR HOME,1960-04-20,IA,CORPORATION,,N,GOOD NEIGHBOR HOME,,,105 MCCARREN DR,,MANCHESTER,IA,520571835
O20030804000036,AZ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629079975,N,035174,5395656011,PARK WAVERLY HEALTHCARE LLC,PARK AVENUE HEALTH AND REHABILITATION CENTER,2003-07-11,NV,LLC,,P,PARK AVENUE HEALTH AND REHABILITATION CENTER,THE ENSIGN GROUP,507,2001 N PARK AVE,,TUCSON,AZ,857193558
O20030805000007,AZ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376535674,N,035132,2961313689,NORTH MOUNTAIN HEALTHCARE LLC,CORONADO HEALTHCARE CENTER,2003-07-28,NV,LLC,,P,CORONADO HEALTHCARE CENTER,THE ENSIGN GROUP,507,11411 NORTH 19TH AVENUE,,PHOENIX,AZ,850293699
O20030805000014,AZ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649271966,N,035135,6204747934,"SUNLAND HEALTH ASSOCIATES, LLC.",MONTECITO POST ACUTE CARE AND REHABILITATION,2003-07-28,NV,LLC,,P,MONTECITO POST ACUTE CARE AND REHABILITATION,THE ENSIGN GROUP,507,51 SOUTH 48TH STREET,,MESA,AZ,852061250
O20030807000021,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1073573317,N,075415001,3476464033,"BRISTOL CCH GROUP, LLC",COUNTRYSIDE MANOR OF BRISTOL,2003-05-16,CT,LLC,,P,,,,1660 STAFFORD AVE,,BRISTOL,CT,060102571
O20030807000032,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1730145822,N,445251,2961313531,WAVERLY HEALTH CARE AND REHABILITATION CENTER LLC,AHC WAVERLY,2003-03-25,TN,LLC,,P,AHC WAVERLY,AMERICAN HEALTH COMMUNITIES,30,895 POWERS BLVD,,WAVERLY,TN,371851018
O20030811000015,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770653867,N,165552,3577474196,LUTHERAN HOME FOR THE AGED ASSOCIATION-EAST,VINTON LUTHERAN HOME,1952-08-03,IA,CORPORATION,,N,THE VINTON LUTHERAN HOME,,,1301 2ND AVE,,VINTON,IA,523491638
O20030811000021,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184712580,N,345044,3476464090,"ST. JOSEPH OF THE PINES, INC",ST. JOSEPH OF THE PINES - HEALTH CENTER,1948-07-01,NC,CORPORATION,,N,SAINT JOSEPH OF THE PINES HEALTH CENTER,TRINITY HEALTH,525,103 GOSSMAN RD,,SOUTHERN PNES,NC,283872225
O20030812000044,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720086416,N,175470,9638080260,"QUAKER HILL NURSING, LLC",QUAKER HILL MANOR,2002-04-01,DE,LLC,,P,QUAKER HILL MANOR,AMERICARE SENIOR LIVING,34,8675 SE 72ND TERRACE,,BAXTER SPRINGS,KS,667133186
O20030812000047,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1114913902,N,335311,4082525613,TOLSTOY FOUNDATION NURSING HOME COMPANY INC,TOLSTOY FOUNDATION REHABILITATION AND NURSING CENTER,1970-01-01,NY,CORPORATION,,N,TOLSTOY FOUNDATION REHABILITATION AND NRSG CENTER,,,100 LAKE RD,,VALLEY COTTAGE,NY,109892339
O20030815000024,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619978301,N,375440,1355252826,"SUNSET ESTATES OF PURCELL, INC.",SUNSET ESTATES OF PURCELL,1987-08-21,OK,CORPORATION,,P,SUNSET ESTATES OF PURCELL,,,915 N 7TH AVE,,PURCELL,OK,730802215
O20030815000027,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1730259813,N,165510,3577474196,LUTHERAN HOME FOR THE AGED ASSOCIATION-EAST,DAVENPORT LUTHERAN HOME,1952-08-03,IA,CORPORATION,,N,DAVENPORT LUTHERAN HOME,,,1130 W 53RD ST,,DAVENPORT,IA,528062401
O20030815000031,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1699740894,N,315275,7517878085,"CONCORD HEALTHCARE, LLC",CONCORD HEALTHCARE AND REHABILITATION CENTER,2003-07-02,NJ,LLC,,P,CONCORD HEALTHCARE & REHABILITATION CENTER,COLEV GESTETNER,689,963 OCEAN AVE,,LAKEWOOD,NJ,087013649
O20030818000020,ME,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1750381018,N,205003,7214848795,"CEDARS NURSING CARE CENTER, INC",,1927-12-30,ME,CORPORATION,,N,CEDARS NURSING CARE CENTER,,,630  OCEAN                         AVE,,PORTLAND,ME,041032704
O20030819000004,MI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1568460939,N,235612,2062323553,"ATRIUM FREEMAN, INC.",FREEMAN NURSING AND REHABILITATION COMMUNITY,2002-06-17,MI,CORPORATION,,P,FREEMAN NURSING & REHAB COMMUNITY,ATRIUM CENTERS,54,1805 W PYLE DR,,KINGSFORD,MI,498024258
O20030819000017,MI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1053371641,N,235331,6204747702,"MEDILODGE OF HOWELL, INC.",MEDILODGE OF HOWELL,1991-06-13,MI,CORPORATION,,P,MEDILODGE OF HOWELL,MEDILODGE,345,1333 W GRAND RIVER AVE,,HOWELL,MI,488431980
O20030819000020,MI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1871553495,N,235371,7012828510,"MEDILODGE OF YALE, INC.",MEDILODGE OF YALE,1982-03-23,MI,CORPORATION,,P,MEDILODGE OF YALE,MEDILODGE,345,90 JEAN ST,,YALE,MI,480972932
O20030819000024,MI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932169521,N,235600,3971414475,"MEDILODGE OF MONTROSE, INC.",MEDILODGE OF MONTROSE,1982-08-24,MI,CORPORATION,,P,MEDILODGE OF MONTROSE INC,MEDILODGE,345,9317 VIENNA RD,,MONTROSE,MI,484579729
O20030819000050,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1790768083,N,056076,9931010444,"ANAHEIM TERRACE CARE CENTER, LLC",ANAHEIM TERRACE CARE CENTER,2003-07-03,DE,LLC,,P,ANAHEIM TERRACE CARE CENTER,GENESIS HEALTHCARE,237,141 S KNOTT AVE,,ANAHEIM,CA,928041406
O20030819000051,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063409472,N,055559,0840101358,"BAY CREST CARE CENTER, LLC",BAY CREST CARE CENTER,2003-07-03,DE,LLC,,P,BAY CREST CARE CENTER,GENESIS HEALTHCARE,237,3750 GARNET ST,,TORRANCE,CA,905033305
O20030819000052,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1427049816,N,056066,1759292261,WOODLAND CARE CENTER LLC,WOODLAND CARE CENTER,2003-07-03,DE,LLC,,P,WOODLAND CARE CENTER,GENESIS HEALTHCARE,237,7120 CORBIN AVE,,RESEDA,CA,913353618
O20030819000053,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1326037847,N,555473,2668383175,"ALTA CARE CENTER, LLC",ALTA GARDENS CARE CENTER,2003-07-03,DE,LLC,,P,ALTA GARDENS CARE CENTER,GENESIS HEALTHCARE,237,13075 BLACKBIRD ST,,GARDEN GROVE,CA,928432902
O20030819000055,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487645214,N,055755,5294646709,SHARON CARE CENTER LLC,SHARON CARE CENTER,2003-07-03,DE,LLC,,P,SHARON CARE CENTER,GENESIS HEALTHCARE,237,8167 W 3RD ST,,LOS ANGELES,CA,900484314
O20030819000056,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1548238702,N,056095,6103737614,"DEVONSHIRE CARE CENTER, LLC",DEVONSHIRE CARE CENTER,2003-07-03,DE,LLC,,P,DEVONSHIRE CARE CENTER,GENESIS HEALTHCARE,237,1350 E DEVONSHIRE AVE,,HEMET,CA,925448629
O20030819000057,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720153620,N,055032,7012828528,"THE EARLWOOD, LLC",THE EARLWOOD,2003-07-03,DE,LLC,,P,THE EARLWOOD,GENESIS HEALTHCARE,237,20820 EARL ST,,TORRANCE,CA,905034307
O20030820000005,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649275009,N,365987,6901717412,"PNP, INC.",CALCUTTA HEALTH CARE CENTER,1994-01-18,OH,CORPORATION,,P,CALCUTTA HEALTH CARE CENTER,,,48444 BELL SCHOOL RD,,CALCUTTA,OH,439209646
O20030820000021,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629076542,N,075241,8123939642,162 SOUTH BRITAIN ROAD OPERATING COMPANY II LLC,RIVER GLEN HEALTH CARE CENTER,2002-07-28,DE,LLC,,P,RIVER GLEN HEALTH CARE CENTER,CAREONE,109,162 S BRITAIN RD,,SOUTHBURY,CT,064882183
O20030821000005,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1316019482,N,555690,4587575014,"ARTESIA HEALTHCARE, INC.",ALAMEDA CARE CENTER,2003-05-02,CA,CORPORATION,,P,ALAMEDA CARE CENTER,LONGWOOD MANAGEMENT CORPORATION,323,925W ALAMEDA                       AVE,,BURBANK,CA,915062801
O20030822000000,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265536304,N,015155,7315858859,"RIDGEVIEW HEALTH SERVICES, INC.",RIDGEVIEW HEALTH SERVICES INC,2003-07-01,AL,CORPORATION,,P,"RIDGEVIEW HEALTH SERVICES, INC",,,907 11TH ST NE,,JASPER,AL,355048821
O20030822000001,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1174520977,N,075329,8123939667,"BRISTOL HEALTH CARE, INC.",BRISTOL HEALTH INGRAHAM MANOR,1984-12-27,CT,CORPORATION,,N,INGRAHAM MANOR,,,400 N MAIN ST,,BRISTOL,CT,060104923
O20030822000019,ND,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1881762565,N,355067,0446161988,VALLEY HOMES AND SERVICES,VALLEY SENIOR LIVING ON COLUMBIA,1997-11-11,ND,CORPORATION,,N,VALLEY SENIOR LIVING ON COLUMBIA,,,2900 14TH AVE S,,GRAND FORKS,ND,582014042
O20030822000023,ND,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1275627184,N,355112,9537070974,4000 VALLEY SQUARE INC,WOODSIDE VILLAGE,1977-11-12,ND,CORPORATION,,N,WOODSIDE VILLAGE,,,4004 24TH AVE S,,GRAND FORKS,ND,582018863
O20030822000025,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1992724157,N,345212,0345151783,JACTOM INC,BETHESDA HEALTH CARE FACILITY,1976-02-25,NC,CORPORATION,,P,BETHESDA HEALTH CARE FACILITY,,,3532 DUNN ROAD,,EASTOVER,NC,283128894
O20030825000003,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1811084064,N,366279,1850202680,ROSARY CARE CENTER,ROSARY CARE CENTER,2000-02-18,OH,CORPORATION,,N,ROSARY CARE CENTER,,,6832 CONVENT BLVD,,SYLVANIA,OH,435604805
O20030825000019,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154390011,N,175406,6204747652,PLEASANT VIEW HOME,PLEASANT VIEW HOME,,,CORPORATION,,N,PLEASANT VIEW HOME,,,108 N WALNUT ST,,INMAN,KS,675468016
O20030827000003,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629076872,N,265768,8628989001,THE BISHOP SPENCER PLACE INC,THE BISHOP SPENCER PLACE INC,1975-12-16,MO,CORPORATION,,N,"BISHOP SPENCER PLACE, INC, THE",,,4301 MADISON AVE,,KANSAS CITY,MO,641113491
O20030827000005,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1881798106,N,175297,1254242639,PRESBYTERIAN MANORS INC,TOPEKA PRESBYTERIAN MANOR,1948-12-28,KS,CORPORATION,,N,TOPEKA PRESBYTERIAN MANOR,PRESBYTERIAN MANORS OF MID-AMERICA,413,4712 SW 6TH AVE,,TOPEKA,KS,666062272
O20030827000012,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1508813163,N,015065,8123939519,PRATTVILLE HEALTH AND REHABILITATION LLC,,,,LLC,,P,"PRATTVILLE HEALTH AND REHABILITATION, LLC",NHS MANAGEMENT,372,601 JASMINE TRL,,PRATTVILLE,AL,360663661
O20030827000015,NM,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1780639617,N,325036,0840101234,PEAK MEDICAL NEW MEXICO NO 3 LLC,LAS PALOMAS CENTER,2001-11-26,DE,LLC,,P,LAS PALOMAS CENTER,GENESIS HEALTHCARE,237,8100 PALOMAS AVE NE,,ALBUQUERQUE,NM,871095264
O20030827000019,NM,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1164476008,N,325108,1557272945,PEAK MEDICAL LAS CRUCES LLC,CASA DEL SOL CENTER,2015-02-02,DE,LLC,,P,CASA DEL SOL CENTER,GENESIS HEALTHCARE,237,2905 MISSOURI AVE,,LAS CRUCES,NM,880114813
O20030827000024,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1134159452,N,175468,3779494174,PRAIRIE MISSION RETIREMENT VILLAGE,PRAIRIE MISSION RETIREMENT VILLAGE,,,CORPORATION,,N,PRAIRIE MISSION RETIREMENT VILLAGE,,,242 CARROLL ST,,SAINT PAUL,KS,667714044
O20030828000000,NM,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295780146,N,325047,4587575980,PEAK MEDICAL LAS CRUCES NO 2 LLC,CASA DE ORO CENTER,2015-02-02,DE,LLC,,P,CASA DE ORO CENTER,GENESIS HEALTHCARE,237,1005 LUJAN HILL RD,,LAS CRUCES,NM,880076304
O20030828000001,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1891722187,N,345516,6305757709,BROSIS MANAGEMENT OF CATAWBA COUNTY,CONOVER NURSING AND REHABILITATION CENTER,1999-03-03,NC,CORPORATION,,P,CONOVER NURSING AND REHABILITATION CENTER,,,920 4TH STREET SW,,CONOVER,NC,286133001
O20030828000021,NM,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659325504,N,325033,0840101234,PEAK MEDICAL NEW MEXICO NO 3 LLC,RIO RANCHO CENTER,2001-11-26,DE,CORPORATION,,P,RIO RANCHO CENTER,GENESIS HEALTHCARE,237,4210 SABANA GRANDE AVE SE,,RIO RANCHO,NM,871241152
O20030828000023,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952355885,N,325044,9234040643,PEAK MEDICAL ROSWELL LLC,MISSION ARCH CENTER,2015-02-02,DE,LLC,,P,MISSION ARCH CENTER,GENESIS HEALTHCARE,237,3200 MISSION ARCH DRIVE,,ROSWELL,NM,882018307
O20030829000000,NM,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932153855,N,325037,0840101234,PEAK MEDICAL NEW MEXICO NO 3 LLC,LADERA CENTER,2001-11-26,DE,LLC,,P,LADERA CENTER,GENESIS HEALTHCARE,237,5901 OURAY RD NW,,ALBUQUERQUE,NM,871201381
O20030829000025,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1871551622,N,675152,3476464892,"WOODVILLE II ENTERPRISES, LLC",DOGWOOD TRAILS MANOR,,,LLC,,P,DOGWOOD TRAILS MANOR,CREATIVE SOLUTIONS IN HEALTHCARE,169,647 US HIGHWAY 190 W,,WOODVILLE,TX,759796758
O20030903000002,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1578556569,N,175044,8426969759,CONGREGATIONAL HOME,BREWSTER PLACE,1958-07-30,KS,OTHER,NON-FOR-PROFIT 501(C)(3),N,BREWSTER HEALTH CENTER,,,1205 SW 29TH ST,,TOPEKA,KS,666111203
O20030903000009,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1609863307,N,105259,0547171878,"SOVEREIGN HEALTHCARE OF MEDICANA, LLC",MEDICANA NURSING AND REHAB CENTER,2003-10-01,DE,LLC,,P,MEDICANA NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,1710 LAKE WORTH RD,,LAKE WORTH,FL,334603627
O20030903000010,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1164410783,N,056308,1456262781,"HERITAGE CARE, LLC",HERITAGE REHABILITATION CENTER,2003-04-01,CA,LLC,,P,HERITAGE REHABILITATION CENTER,CHARIS TRUST DTD 12/22/16,136,21414 S VERMONT AVENUE,,TORRANCE,CA,905021935
O20030903000012,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235126855,N,105868,1456262799,SOVEREIGN HEALTHCARE OF METRO WEST LLC,METRO WEST NURSING AND REHAB CENTER,2003-06-30,DE,LLC,,P,METRO WEST NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,5900 WESTGATE DR,,ORLANDO,FL,328352002
O20030903000013,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1285621987,N,105735,4082525324,"SOVEREIGN HEALTHCARE OF ORANGE CITY, LLC",ORANGE CITY NURSING AND REHAB CENTER,2003-07-07,DE,LLC,,P,ORANGE CITY NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,2810 ENTERPRISE RD,,DEBARY,FL,327132703
O20030903000014,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1053308775,N,105831,0446161780,SOVEREIGN HEALTHCARE OF PALM CITY LLC,PALM CITY NURSING AND REHAB CENTER,2003-10-01,DE,LLC,,P,PALM CITY NURSING & REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,2505 SW MARTIN HWY,,PALM CITY,FL,349903149
O20030903000015,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063409605,N,105603,2264343508,"SOVEREIGN HEALTHCARE OF PALMETTO, LLC",RIVIERA PALMS REHABILITATION CENTER,2003-10-01,DE,LLC,,P,RIVIERA PALMS REHABILITATION CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,926 HABEN BLVD,,PALMETTO,FL,342214142
O20030903000016,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1710974423,N,105776,5890606131,SOVEREIGN HEALTHCARE OF PORT ORANGE LLC,PORT ORANGE NURSING AND REHAB CENTER,,,LLC,,P,PORT ORANGE NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,5600 VICTORIA GARDENS BLVD,,PORT ORANGE,FL,321277914
O20030903000019,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235126889,N,105793,9436060779,SOVEREIGN HEALTHCARE OF TITUSVILLE LLC,ROYAL OAKS NURSING AND REHAB CENTER,2003-06-30,DE,LLC,,P,ROYAL OAKS NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,2225 KNOX MCRAE DR,,TITUSVILLE,FL,327805236
O20030903000020,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1548257165,N,105819,1254242597,"SOVEREIGN HEALTHCARE OF PORT ST. LUCIE, LLC",TIFFANY HALL NURSING AND REHAB CENTER,2003-10-01,DE,LLC,,P,TIFFANY HALL NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,1800 SE HILLMOOR DR,,PORT SAINT LUCIE,FL,349527542
O20030903000021,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1346237963,N,105872,4880505122,"SOVEREIGN HEALTHCARE OF TUSKAWILLA, LLC",TUSKAWILLA NURSING AND REHAB CENTER,2003-06-30,DE,LLC,,P,TUSKAWILLA NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,482,1024 WILLA SPRINGS DR,,WINTER SPRINGS,FL,327085214
O20030903000023,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1275533929,N,555425,3779494018,"VISTA WOODS HEALTH ASSOCIATES, LLC",VISTA KNOLL SPECIALIZED CARE FACILITY,2003-07-28,NV,LLC,,P,VISTA KNOLL SPECIALIZED CARE FACILITY,THE ENSIGN GROUP,507,2000 WESTWOOD ROAD,,VISTA,CA,92083
O20030903000025,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1336148840,N,055394,8224949565,CLAREMONT FOOTHILLS HEALTH ASSOCIATES LLC,CLAREMONT CARE CENTER,2003-07-28,NV,LLC,,P,CLAREMONT CARE CENTER,THE ENSIGN GROUP,507,219 E FOOTHILL BLVD,,POMONA,CA,917671403
O20030903000026,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487640066,N,055505,9133030471,CITY HEIGHTS HEALTH ASSOCIATES LLC,ARROYO VISTA NURSING CENTER,2003-07-28,NV,LLC,,P,ARROYO VISTA NURSING CENTER,THE ENSIGN GROUP,507,3022 45TH ST,,SAN DIEGO,CA,921054302
O20030905000003,ME,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1962499053,N,205064,4486565744,ROSS MANOR ASSOCIATES,,1987-07-14,ME,PARTNERSHIP,,P,ROSS MANOR,FIRST ATLANTIC HEALTHCARE,221,758  BROADWAY,,BANGOR,ME,044013224
O20030905000007,ME,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487640520,N,205115,8022929397,DEXTER MANOR ASSOCIATES,,1988-03-29,ME,PARTNERSHIP,,P,DEXTER HEALTH CARE,FIRST ATLANTIC HEALTHCARE,221,64  PARK                          ST,,DEXTER,ME,049301470
O20030905000011,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841239860,N,175380,8820909195,"CEDARS, INC.",THE CEDARS,1949-10-01,KS,CORPORATION,,N,THE CEDARS,,,1021 CEDARS DR,,MCPHERSON,KS,674602735
O20030905000026,ID,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1548355811,N,135059,8820909104,FRANKLIN COUNTY MEDICAL CENTER,FRANKLIN COUNTY TRANSITIONAL CARE,,,OTHER,GOVERNMENT,N,FRANKLIN COUNTY TRANSITIONAL CARE,,,44 N 1ST E,,PRESTON,ID,832631326
O20030907000000,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841387008,N,175008,4688585979,MEDICALODGES INC,MEDICALODGES WICHITA,1976-04-19,KS,CORPORATION,,P,MEDICALODGES WICHITA,"MEDICALODGES, INC.",344,2280 S MINNEAPOLIS AVE,,WICHITA,KS,672115318
O20030907000001,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1386732998,N,175294,4688585979,MEDICALODGES INC,MEDICALODGES GODDARD,1976-04-19,KS,CORPORATION,,P,MEDICALODGES GODDARD,"MEDICALODGES, INC.",344,501 EASY ST,,GODDARD,KS,670529211
O20030907000002,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851472922,N,375150,4688585979,MEDICALODGES INC,MEDICALODGES DEWEY,1976-04-19,KS,CORPORATION,,P,MEDICALODGES DEWEY,"MEDICALODGES, INC.",344,430 BARTLES ROAD,,DEWEY,OK,740295807
O20030907000003,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720040744,N,175258,4688585979,MEDICALODGES INC,MEDICALODGES FORT SCOTT,1976-04-19,KS,CORPORATION,,P,MEDICALODGES FORT SCOTT,"MEDICALODGES, INC.",344,915 HORTON ST,,FORT SCOTT,KS,667012437
O20030907000004,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528156320,N,175313,4688585979,MEDICALODGES INC,MEDICALODGES ARKANSAS CITY,1976-04-19,KS,CORPORATION,,P,MEDICALODGES ARKANSAS CITY,"MEDICALODGES, INC.",344,203 E OSAGE AVE,,ARKANSAS CITY,KS,670051255
O20030907000008,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1609963578,N,175264,4688585979,MEDICALODGES INC,MEDICALODGES COLUMBUS,1976-04-19,KS,CORPORATION,,P,MEDICALODGES COLUMBUS,"MEDICALODGES, INC.",344,101 LEE AVE,,COLUMBUS,KS,667251021
