Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
CASTLE HEALTHCARE,121,7,1,0,0,1,14.3,57.1,42.9,0,2.3,2.4,1,4.3,3.2,2.9,0.4,47.5,49.6,0.7,6,0.9,175338.3,25048.33,2,0.3,28.5,11.6,1.2,5.4,60.9,61.3,72.9,1.25,1.89,17.3,2.1,4.8,1,0.3,8.1,2.6,95.6,86.3,0,18.7,6.9,39.5,26.8,10.8,30.9,0.9
CATHOLIC CHARITIES NEW HAMPSHIRE,122,6,1,0,0,0,0,0,100,0,4,4,4,4,4,3.6,0.7,52.9,45.5,0.6,0,0,0,0,0,0,28.6,11.8,0.6,1.2,57.2,88.9,86.7,1.77,1.83,3.4,3.4,4.2,3,2.9,18.3,21.9,98.7,95.7,0,30.7,6.8,0,14.3,9.9,70.8,35.8
CAVALIER HEALTHCARE,691,2,2,0,0,0,0,100,0,0,2,2.5,2,3.5,3.4,2.9,0.3,44.4,70,1,9,4.5,65151.89,32575.95,0,0,30.3,17.1,0.1,4,38,91.9,95.1,2.48,1.58,14.3,4.6,4.8,2.2,1.1,9.6,9,99.1,95.7,0,16.3,4.8,0,23.2,9,70.3,27.3
CCH HEALTHCARE,124,31,2,0,0,6,19.4,100,0,0,2.3,2.2,2.7,3.3,3.7,3.3,0.7,57.3,48.6,0.7,47,1.5,2327336.83,75075.38,12,0.4,25.1,15.6,1.6,3.3,43,62.5,66.3,1.97,1.95,9.4,2.8,6.7,0.8,0.3,13,9.1,86.5,83.1,0,23.3,8.6,9.5,26.3,10.5,32.6,11.2
CELEBRATE SENIOR LIVING,647,3,2,0,0,0,0,33.3,66.7,0,3,3.7,2,3.7,3.5,3.2,0.6,35.8,29.2,0.3,4,1.3,70049.5,23349.83,0,0,20.8,17.9,2.8,0.6,52.8,73.2,79.3,1.47,1.43,17.4,3.1,5.8,3.1,0.4,24.4,15.9,97.1,95.8,0,23.2,7.2,37.3,14.5,11.8,69.2,1.7
CENTENNIAL COLORADO HOLDCO,592,7,1,0,0,2,28.6,100,0,0,2.9,2.6,2.1,4,3.3,2.9,0.7,44.4,40,0.7,6,0.9,93004.6,13286.37,0,0,18,15.3,0.8,1.6,58.6,78.1,84.7,0.98,2.7,18,4.9,1.9,0.3,0.6,9.5,11.3,97.7,94,0.3,15.4,2.9,22.3,21.1,10.9,36.8,5
CENTER MANAGEMENT GROUP,619,15,4,1,0,1,6.7,100,0,0,2.9,2.9,1.6,4.1,3.5,3.2,0.5,46.2,38.3,0.3,11,0.7,620355.91,41357.06,1,0.1,25.8,11.8,0.9,1.5,53,65,64.4,2.12,1.59,9.5,3,5.8,0.6,0.7,14.8,12,92.3,86.9,0,23.5,6.4,40.5,17.6,10.9,37.6,8.9
CENTERS HEALTH CARE,127,38,3,0,1,4,10.5,100,0,0,2.1,2.1,1.8,3.6,3.5,3,0.4,50.5,46.7,0.6,27,0.7,732254.25,19269.85,0,0,24.6,12.5,0.9,2.5,54.5,81,82.3,1.77,1.66,10,2.4,7.4,0.8,0.3,19,17.3,94.9,94.5,0,21.8,4.9,31.6,13,9.9,45,0.2
CENTRAL ARKANSAS NURSING CENTERS,129,39,2,0,1,1,2.6,100,0,0,3.4,3.1,3.2,4.2,4.4,3.8,0.3,50.9,39.8,0.2,13,0.3,379574.1,9732.67,2,0.1,24.2,12,0.8,3.2,53.2,74.3,88,1.75,1.53,7.4,3.2,3.7,0.5,0.7,17.1,11.4,92.6,96.7,0.1,18.1,4.7,0.8,24.4,10.8,45.7,5.8
CENTRAL MANAGEMENT COMPANY,130,22,1,0,0,6,27.3,100,0,0,2.5,2.8,2.6,1.9,3.7,3.3,0.3,43.2,26.2,3.3,20,0.9,733722.75,33351.03,1,0,28,15.3,4.8,3.4,59.8,85.4,90.8,2.5,2.34,17.1,4,6,3.8,2.2,21.7,18.8,98.6,96.9,0.1,8.8,4.3,1.8,28,10.8,44,4.8
CENTURY CARE MANAGEMENT,131,7,1,0,0,0,0,100,0,0,4.1,4.4,2.9,2.7,3.9,3.3,0.4,41.8,32.1,0,1,0.1,8511.75,1215.96,0,0,24.7,10.3,1,3.4,60.3,86,89.4,2.22,2.29,16,3.3,10.2,2.8,1.1,33.8,24.4,97.9,95.4,0.2,23.1,10.1,3.3,17.7,11,38.1,7.2
CENTURY HEALTHCARE,638,9,1,0,2,2,22.2,100,0,0,1.9,1.8,2.7,3.4,3.4,3.2,0.5,53.9,60.6,1.3,13,1.4,761723.7,84635.97,4,0.4,26.2,11.6,1,2.2,45.5,66.9,72.8,1.57,1.19,18.6,2.4,4.7,0.7,0.8,11.4,9.7,91.6,94.9,0,23,5.6,2.8,20,10.2,53,1.6
CERTUS HEALTHCARE,132,14,1,0,0,5,35.7,100,0,0,1.6,1.3,1.9,4.1,3.1,2.8,0.4,46.2,50.2,1.1,24,1.7,980069.45,70004.96,9,0.6,26.8,15.6,2.4,2.7,36.3,76.8,74.5,1.81,2.1,8.1,3.3,4.6,0.6,0.1,8.1,5.5,97.9,98,0,25.5,8.3,6.2,28.4,10.5,20.9,6.6
CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,133,7,1,0,0,1,14.3,57.1,0,42.9,2.4,3,2,2.6,3.4,3,0.3,53,51.7,0.3,18,2.6,245948.18,35135.45,0,0,29.6,13.3,1.4,2.8,37.6,88.2,86.1,2.05,2.05,10.9,4,7,0.7,1,23.2,16.5,96,98.4,0,22.9,8.1,1.8,22.1,10.9,36.3,3
CHAMPION CARE,134,17,3,1,1,1,5.9,94.1,5.9,0,1.5,1.7,1.7,3.1,3.2,2.9,0.6,56.2,50.8,0.5,30,1.8,1612208.91,94835.82,9,0.5,25.5,17.2,2.2,3.8,51.1,42.3,64.6,1.69,1.96,16.1,2,6.6,1.6,1.5,22,13.5,84.7,86.9,0.1,19,4.7,19.1,22.8,10.4,31.1,18.8
CHANCELLOR HEALTHCARE,135,2,2,0,0,0,0,100,0,0,3,3,2,3,4.1,3.6,0.5,53,70.8,2,1,0.5,2350,1175,0,0,23.6,16.4,1.8,4.5,49.8,62.1,90.7,2.26,2.63,7.3,2.8,5.1,1.2,0.5,18.6,20.7,95.5,86.4,0,25.3,10.9,4.3,8.4,9.1,53.4,0.5
CHARIS TRUST DTD 12/22/16,136,7,1,0,0,1,14.3,100,0,0,3.1,2.4,3.3,4.7,4.1,3.7,0.5,27.6,26.2,0.3,8,1.1,98785.8,14112.26,2,0.3,25.4,11.8,1,0.8,55.4,96.8,97.9,2.09,1.39,6.1,1.2,4.8,0.4,1.3,6.9,6.6,99.9,99.9,0,7.9,3.1,2.3,13,10.4,50.7,15.1
CHARLESTON HEALTHCARE GROUP,137,5,2,0,0,2,40,100,0,0,2.8,2.6,2,3.2,2.9,2.6,0.4,42.1,43.3,0.6,10,2,229302.8,45860.56,4,0.8,22.4,15.6,1.6,0.3,52.6,96.4,98.9,1.84,2.76,8.7,3.4,3.2,0.3,1.1,22.8,20,99.6,100,0,19.1,3.9,3.2,30.7,10.5,23.9,2.1
CHELSEA JEWISH LIFECARE,138,5,1,0,0,0,0,20,80,0,3.6,3.6,3.2,4,4.7,4.4,0.6,34.1,39,0.2,3,0.6,31258.46,6251.69,0,0,22.9,6.4,0.6,1.2,48.1,92.3,98.2,1.66,0.86,16.3,4.5,5,0.9,1.3,25.9,25.7,99.2,97,0,11.4,4.6,27.3,16.6,10.3,48.3,10.9
CHOICE HEALTH MANAGEMENT,140,5,2,1,0,3,60,100,0,0,1.3,1.5,1,2.3,3.2,2.8,0.4,,,1.2,10,2,518144.49,103628.9,2,0.4,24.6,17.7,2.6,2,49.6,74.9,70.8,1.78,2.22,16,2.4,6.3,1.2,0.8,34.5,26.1,93.1,91,0,21.8,11.4,2.1,21.9,10.4,30.3,5
CHOSEN HEALTHCARE,141,7,2,0,1,1,14.3,71.4,0,28.6,1.6,1.9,1.4,3,2.9,2.6,0.4,50.8,54.6,0.4,12,1.7,421367.17,60195.31,3,0.4,26.7,16.1,2.6,2.6,56.9,99,70.8,2.24,1.64,23.6,5.3,3.1,1,0.7,24.4,26,95.5,86.6,0.3,26.2,8.9,31.3,30.6,10.9,47.8,6.5
CHRISTIAN CARE COMMUNITIES,142,5,1,0,0,0,0,20,80,0,3.4,3.6,3.2,3.2,4.3,3.8,0.8,59,47.3,0.8,0,0,0,0,0,0,21.6,13.2,1.2,4.1,51.4,81.9,78.6,1.32,2.13,8.9,4.3,5.1,7.3,1.7,31.2,16.7,98,97.2,0,19.6,7.7,1.9,34.2,10.8,39.3,5.3
CHRISTIAN HORIZONS,143,5,3,0,0,1,20,20,80,0,2,2,2.8,2.8,4.2,3.9,0.7,56.3,55,1,7,1.4,631403.75,126280.75,5,1,26.7,14.1,1.2,5.7,63.7,86.7,82.3,1.41,1.8,13.3,4.2,7.1,2.1,1.6,35.7,23.9,97.5,96.2,0.2,33,7.9,1.7,12.4,9.3,28.4,0
CIENA HEALTHCARE/LAUREL HEALTH CARE,144,82,5,0,0,9,11,100,0,0,2.7,2.6,3.2,3.4,3.6,3.2,0.6,42.7,39.6,0.4,109,1.3,4330079.71,52805.85,30,0.4,24.8,11.6,1.5,3.3,50.9,76.2,83,1.78,1.37,13.8,2.8,7,1.3,0.8,22,15.6,91,95.6,0.1,24.4,6.7,3.6,21.2,10.6,34.4,4.2
CIRCLE B ENTERPRISES,145,29,2,0,0,3,10.3,100,0,0,2.2,2.8,2,2,3.3,2.8,0.4,61.7,49.8,0.5,18,0.6,468566.11,16157.45,6,0.2,26.4,15.6,1.7,3.5,51.5,63.9,67,2.01,2.19,24.1,4,7.3,2.2,2.4,32.3,23.8,91.2,84.6,0.1,18.8,4.7,6.7,27.4,10.9,21.2,1.9
CITADEL CARE CENTERS,146,16,2,0,0,1,6.3,100,0,0,2.9,2.4,2.6,4.3,3.3,3.1,0.6,40.4,47.7,1.3,12,0.8,144524.81,9032.8,0,0,24.6,10.7,1.2,2.3,52.2,81.9,75.2,1.71,1.07,6.3,1.4,7.2,0.1,0.2,12.1,10.9,99.3,85.5,0,16.9,6.7,5.4,13,10.7,36.7,14.5
CITADEL HEALTHCARE,147,12,1,0,0,1,8.3,100,0,0,3,3.4,2,2.7,3.2,2.8,0.6,38.1,32.7,0.3,20,1.7,501869.89,41822.49,1,0.1,27.5,12.6,1.7,1.9,39.9,76.9,73.5,2.04,1.58,25.4,2.5,5.9,0.3,0.4,18.1,13.4,98.1,91.4,0,16.9,6.6,85.1,16.7,10.2,61.4,14.7
CITIZENS MEMORIAL HEALTH CARE,148,6,1,0,0,0,0,0,100,0,4.2,4.2,1.8,3,3.3,2.9,0.5,60.3,56,0.5,0,0,0,0,0,0,18.5,17.4,1.9,2.4,53.7,86.8,90.8,1.76,2.22,14.9,5.5,4.1,2,0.5,25.3,21.9,98.9,97.8,0,18.5,2.7,2.9,21.1,10.6,31.5,9.9
CIVITA CARE CENTERS,683,6,1,0,0,0,0,100,0,0,2,2.3,2.8,2.2,3.5,3.1,0.6,38.3,35.1,0.3,6,1,119717,19952.83,0,0,34.2,14.5,1.6,2.1,48.9,59.2,59.1,2.25,1.53,21.5,3,5.6,3.8,1.9,23.3,23,89.9,82.2,0,21.2,8.3,1.8,15.2,11.1,50.2,8.3
CLEAR CHOICE HEALTHCARE,149,9,2,0,0,1,11.1,100,0,0,3.3,3.2,3.8,3.4,4.1,3.6,0.6,45.7,42.2,0.3,2,0.2,34160.5,3795.61,0,0,27.6,11,1.1,2,54,97.2,99,1.99,1.13,8.2,2.8,5.1,1.7,1.3,24.2,18.9,99.8,99.7,0,17.9,4.6,0.6,20.8,11.9,27.3,3.8
COLEV GESTETNER,689,7,4,0,0,0,0,100,0,0,3.4,3.6,3.3,3.6,3.8,3.4,0.6,41.8,35.8,0.3,6,0.9,95875.11,13696.44,0,0,28.6,9.6,0.9,2.6,57.5,82.9,78.4,2.02,1.42,11.4,2.5,5.1,0.5,0.6,12.8,11.1,99.2,93,0,22.4,6.9,20.6,13.5,10.2,53.8,10
COLUMBINE HEALTH SYSTEMS,707,5,1,0,0,1,20,100,0,0,4.2,3.8,4.4,4,4.2,3.8,1.4,48.5,24.9,0.5,4,0.8,29956.98,5991.4,0,0,15.7,14.1,1.6,2,46.9,81.7,89.1,1.23,1.24,13.8,3.6,4.1,4.3,0.4,27.2,18,97.6,95.5,0,23.5,3.1,3.4,12.7,9.3,51.9,19.3
COMMCARE CORPORATION,150,14,1,0,0,0,0,0,92.9,7.1,2.9,3,3,2.7,4.1,3.4,0.3,50,38.6,0.4,13,0.9,920879.63,65777.12,4,0.3,29.9,15.6,1.5,3.2,44.3,86.3,94.8,2.59,2.7,9.8,3.4,5.3,1.3,0.4,20.8,15.6,97.2,96.5,0,16.3,4.2,0.5,22.6,11.2,41.3,8.3
COMMONSPIRIT HEALTH,151,18,9,0,0,0,0,22.2,77.8,0,3.3,3,3.4,4.1,5.7,5.1,1.6,42.2,36.1,0.8,15,0.8,656025.78,36445.88,9,0.5,23.3,13.2,0.9,1.6,61.6,71.4,83.3,1.81,1.47,12.1,3,6.1,1.2,1.5,17.1,13.4,95.2,94.3,1.1,18.7,4.5,13.1,19.2,10.4,58,2.5
COMMONWEALTH CARE OF ROANOKE,152,12,1,0,0,1,8.3,100,0,0,3.1,3.1,2.4,3.8,3.5,3.1,0.5,41.3,41.1,0.7,5,0.4,110997,9249.75,0,0,26.2,10.3,1.2,1.6,45.6,89.3,92.6,1.39,1.15,13.7,3.8,4.9,1.3,0.4,27.3,18.3,99,99.1,0.1,22.2,6.8,1.6,20.4,11.1,,
COMMUNICARE HEALTH,153,122,6,2,6,18,14.8,93.4,4.9,1.6,2.4,2.3,2.4,3.8,3.4,3,0.5,47.4,47.5,0.7,125,1,5787006.71,47434.48,21,0.2,26.9,13.9,1.3,2.4,48.8,71.8,67.7,1.67,1.78,11.4,3.7,5.1,0.7,0.3,16.2,11.7,95.1,92.6,0,23,4.4,22,24.6,10.7,54.1,1.2
COMMUNITY CARE CENTERS,154,13,2,0,0,4,30.8,100,0,0,2.3,2.7,2.5,1.9,3.5,3.1,0.5,51.5,41.1,0,33,2.5,1013362.75,77950.98,6,0.5,24,11.9,2.1,1.8,47.4,71.7,79.5,2.5,2.92,18.6,5.2,6.2,2.7,1.5,32.2,26.2,96.1,89.7,0.2,22.2,4.5,3.6,26.2,11.2,46.4,3.6
COMMUNITY ELDERCARE SERVICES,155,17,2,0,2,2,11.8,100,0,0,2,2.1,3.1,1.8,3.6,3.1,0.6,51,46.3,1,19,1.1,710598.95,41799.94,3,0.2,35.5,18.8,3.8,3.7,47.2,74.4,78.2,1.89,2.7,22.6,4.4,8.1,1.3,1.2,32.7,23.3,89.7,92.8,0,25.2,8.3,1.7,31.5,12.5,46.1,2
"COMPASS HEALTH, INC.",156,7,1,0,0,0,0,100,0,0,5,5,4,4.4,5.3,4.6,0.6,41.5,44.2,0.7,0,0,0,0,0,0,20.4,16.8,1.2,0.9,54.2,99.8,100,1.35,1.42,17.7,2.4,1.8,0.6,0.1,12.8,4.8,100,100,0,6.7,3.3,0.3,26.3,9.5,58.7,23.4
COMPLETE CARE,157,78,7,0,0,6,7.7,98.7,1.3,0,2.9,2.5,2.3,4.4,3.6,3.3,0.6,48.9,50.9,0.5,77,1,2942058.51,37718.7,5,0.1,25.2,10,1,2.7,58.2,80.1,81.5,1.71,1.25,10.6,2.3,6,0.8,0.4,14,9.4,98.3,95.6,0,23,5.4,17.7,18.4,10.8,35.1,7.4
CONCORDIA LUTHERAN MINISTRIES,573,8,3,0,0,0,0,12.5,87.5,0,3.1,2.8,3.5,4,4,3.6,0.8,39,36.6,0.4,4,0.5,89885.9,11235.74,0,0,27.4,9.7,1,1.8,60.8,78.2,91,2.04,1.2,11.8,2.9,6.3,2,0.9,28.2,20.3,92.6,94.9,0,33.8,7.5,5.7,15.7,11.3,19.3,0.7
CONHOLD,720,5,1,0,0,0,0,100,0,0,3.2,3.2,1.6,3.6,3.2,3.1,0.3,,,1.8,2,0.4,114374,22874.8,2,0.4,31.4,18.5,1.4,2.7,57,84,95.6,2.4,1.82,6.6,4.8,3.4,1.6,1.1,15.8,14,88.5,99,0,21.3,2.1,2.5,29,10.6,53.4,0
CONSULATE HEALTH CARE/INDEPENDENCE LIVING CENTERS/NSPIRE HEALTHCARE/RAYDIANT HEALTH CARE,158,53,5,0,4,9,17,100,0,0,2.2,2.3,2.4,3.2,3.3,2.9,0.5,50.7,53.1,1.2,95,1.8,1875696.54,35390.5,7,0.1,25,12.2,2.1,4.1,49.3,80.9,79.6,1.7,1.71,16.5,3.3,6.4,0.8,0.9,20.4,14.7,95.5,90.2,0,23,7.2,2.6,23.7,10.5,33.8,7.8
CONTINUING HEALTHCARE SOLUTIONS,159,12,1,0,0,3,25,100,0,0,2.1,1.8,2,4.3,3.2,3,0.5,49.7,53,0.6,15,1.3,289069.15,24089.1,4,0.3,31.8,12.4,1,2.3,53.7,60.3,79.2,1.48,2.1,9.4,4.6,2.3,0.5,0.1,12.6,8.2,88.1,84.5,0,22.2,7.9,20.3,30.6,10.3,28.6,8.5
CONTINUING LIFE,160,6,1,0,0,0,0,100,0,0,4.7,4.3,4.5,4.2,5.3,4.8,1,33.3,31.3,0.4,8,1.3,47487.77,7914.63,0,0,25.3,11.3,0.6,1.9,39.8,95.5,98.7,1.57,0.53,12.4,4.8,5.2,0.5,2.7,22.9,12.6,100,99,0,18,4,1.7,9.9,9.3,44.4,12.9
CONTINUUM HEALTHCARE,161,7,3,0,0,1,14.3,85.7,14.3,0,2,1.7,3.3,3.9,3.7,3.2,0.6,49.6,43.6,1.3,13,1.9,350750.3,50107.19,2,0.3,26.6,8.7,1.8,3.8,50,78.6,76.7,1.67,1.05,14.5,3,6.5,0.9,0.9,16.4,10.5,97.6,88.5,0,24.2,7.4,9.2,23.7,10.8,36.3,10.6
COREWELL HEALTH,721,8,1,0,0,0,0,0,100,0,4.3,4,4.3,4,4.4,3.8,1.1,44,30.4,0.2,4,0.5,105798.1,13224.76,3,0.4,23.2,11.1,1.1,1.4,53.9,92.8,94.3,1.72,1.02,15.1,3,9,3.2,0.8,19.4,13.8,98.9,97.7,0,20.9,7.9,1.3,15.7,10.3,44.4,6.1
CORNERSTONE GROUP HOLDINGS,162,7,1,0,2,3,42.9,100,0,0,1.6,1.6,2.6,2.6,3.2,2.8,0.5,64.1,62.7,2.3,14,2,551178.76,78739.82,2,0.3,15.1,4.9,7.4,3.9,47.8,,66.2,2.41,2.07,27.6,2.3,6.5,2.6,1.7,21.2,16.6,98.8,94.1,0,18.9,5.8,4.1,29.7,10.4,37.6,7.5
CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,163,9,1,0,0,2,22.2,33.3,0,66.7,2.6,2.6,2.3,3.5,3.4,3,0.3,47,36.8,0.4,13,1.4,455429.92,50603.32,1,0.1,26.8,14,2.5,2.4,60.1,94.4,95,1.56,2.22,9.5,3.6,4.4,1,0.8,18.8,14.6,99,99.9,0,20.1,4.4,1,25.5,10.7,14.9,2
COUNTRY CLUB REHABILITATION CAMPUS,164,6,1,0,0,1,16.7,100,0,0,3.5,2.8,2.8,4.7,3.4,3.1,0.7,47.2,38.5,0.3,6,1,226903.21,37817.2,2,0.3,25.7,11.8,0.5,3.6,47.5,65.1,64.7,1.42,2.04,3.5,5.1,6.3,0.1,0,4.2,4.2,91.1,85,0,27.6,5.3,7.3,24,11.7,24.1,0.4
COUNTRY VILLA HEALTH SERVICES,165,8,1,0,1,2,25,100,0,0,2.4,1.9,2,4.3,4.2,3.8,0.3,39.9,63.6,1.1,14,1.8,418959.91,52369.99,5,0.6,23.5,10.2,1.5,1,45.4,95.9,99.4,2.96,1.28,7.1,1.5,3.9,0.6,0.3,11.1,10.2,99,99.6,0,7.3,4.7,18.4,13.8,10.8,48.4,19.4
COVENANT CARE,166,25,2,0,0,3,12,100,0,0,3.1,2.7,3.4,4.4,3.9,3.6,0.6,41.3,49.7,0.7,18,0.7,468539.22,18741.57,0,0,25.6,13.4,0.9,1.7,54.6,95.9,97.1,2.1,1.75,6.7,2.1,3.7,0.7,0.5,12.6,6.8,98.9,99.7,0,14.3,3.3,5.8,13.5,11.2,39.7,14.6
COVENANT HEALTH,167,11,5,0,1,0,0,0,100,0,3.4,3.1,4.1,2.7,4.1,3.6,1.1,48.2,41.2,0.1,18,1.6,470633.57,42784.87,2,0.2,25.1,12,1.4,3,47.4,72.4,69.1,1.77,1.71,18.8,4.2,4.5,1.9,2,30,22.1,96.9,90.6,0,31.7,5,1.3,18.2,10.3,38.8,5.1
COVENANT LIVING,168,15,10,0,0,0,0,6.7,93.3,0,4.3,3.9,4.2,4.1,4.2,3.8,1,37.3,33.2,0.3,5,0.3,279307,18620.47,0,0,25.2,10.6,0.6,2.9,52,90.1,95.3,1.78,1.05,12.4,2.9,4.1,4.5,1.3,24.2,19.1,96.5,97.8,0,18.2,5.1,2.8,13.6,10.3,56.5,13.3
CREATIVE SOLUTIONS IN HEALTHCARE,169,130,1,1,2,14,10.8,82.3,0,17.7,2.6,2.7,1.9,3.5,3.1,2.7,0.4,51.1,51.5,1,203,1.6,6420421.03,49387.85,21,0.2,26.3,14.4,1.8,2.8,57.9,96.6,96.9,2.2,2.23,8.3,3.6,4.8,0.5,0.5,20.2,18.2,99.7,99.7,0,18.9,3.8,3.2,20,10.7,15.4,0.1
CREST HEALTHCARE CONSULTING,170,13,1,0,1,3,23.1,92.3,0,7.7,1.8,2.7,1,2.5,3.1,2.6,0.5,54.7,54.3,0.8,23,1.8,1055309.19,81177.63,10,0.8,26.4,18.8,1.4,2.5,42.6,60.9,64,1.96,3.17,14.2,3.6,5.6,1,0.6,15.7,12.9,89.3,85.2,0.2,28.4,7.7,60.1,22.1,10.8,36.4,4.4
CRESTPARK,722,6,1,0,0,0,0,100,0,0,2,2,3.3,2.5,4.6,4,0.5,31.4,30,0.3,5,0.8,46608.25,7768.04,1,0.2,18.1,23.2,0,6.3,47.6,35,79.7,2.18,3.59,15.9,4.6,7.3,4.8,3.2,13.6,13.9,95.9,97,0.7,7.1,5.7,1.5,20.1,10.5,26,3.5
CROSSROADS CARE CENTER,171,14,2,0,0,0,0,100,0,0,2.2,2.3,2.3,3.1,3.3,2.9,0.6,48.1,34.5,0.2,19,1.4,705176.28,50369.73,5,0.4,24.5,20.6,1.5,2.5,53.9,62.9,80.9,1.98,2.02,19.2,2.8,6.6,2.7,1.2,14.4,7.3,87.2,95.5,0,21.1,5.3,21.9,17,10.1,50.3,5.7
CROSSROADS MEDICAL MANAGEMENT,172,6,1,0,0,2,33.3,100,0,0,3,3.2,3.5,2.3,3.9,3.4,0.6,46.7,29.2,0,4,0.7,132732.25,22122.04,0,0,27.8,14,2.5,2.4,51.6,94.4,95.6,1.71,1.94,12.9,4.2,5.7,3.5,2.4,24.4,17.7,99.6,99.5,0,16.7,6,5,23.3,11.7,42.8,4.8
CROWN HEALTHCARE GROUP,173,9,1,0,1,0,0,100,0,0,2,2.4,1.3,3.9,3.3,3,0.4,56.7,57.3,0.6,9,1,460939.43,51215.49,3,0.3,27.8,14.6,1.8,2.3,49.8,59,72.6,1.73,2.25,11.7,3,5.6,0.3,0.4,6.5,5.8,87.2,89.9,0,22.8,7.1,31.5,24.1,10.8,25.6,0.1
CROWNE HEALTH CARE,174,18,1,0,0,1,5.6,94.4,5.6,0,4.1,3.9,4.4,2.6,4.4,3.7,0.7,39.6,29.9,0.2,3,0.2,83974.78,4665.27,1,0.1,23,13.7,1.8,3.1,54.4,83.3,85.1,1.92,2.14,21.8,3.3,6.5,4.2,2.6,23.8,17,95.8,96.6,0.1,12.5,5.8,0.5,21.8,10.6,37.5,4.4
CYPRESS HEALTHCARE GROUP,175,11,1,0,0,1,9.1,100,0,0,3.1,2.9,3.5,4.3,4.3,3.9,0.5,44.4,47.2,0.4,10,0.9,54104.11,4918.56,0,0,27.3,16.6,0.6,0.6,50.4,97.3,99.1,1.97,1.62,7,1.8,5.8,1.4,1.3,16.5,8.7,98.7,99.6,0,15.5,4.5,2.8,8.1,10.6,51.6,25.3
CYPRESS HEALTHCARE LA,642,4,4,0,0,1,25,100,0,0,1.8,2,2.3,3,3.2,2.9,0.6,47.2,41.2,2,2,0.5,71611.4,17902.85,2,0.5,26.7,11.2,1.6,2.9,50.4,50.7,56.1,2.09,1.39,17.5,2.9,5.5,2.7,2.5,29.6,23,90.6,66.9,0,24.3,5.7,19.3,17.7,10,34.4,7.3
CYPRESS SKILLED NURSING,176,9,1,0,1,1,11.1,100,0,0,1.3,2.1,1.1,1.1,3.3,3,0.3,70.7,63,0.3,8,0.9,249534.54,27726.06,1,0.1,29.6,17.3,3.3,4.5,36.9,69.6,78.4,1.9,1.92,22.1,3.1,6.4,3.5,0.8,30.7,22.7,93.2,89.8,0,27,7.6,1.7,25.1,10.4,37.9,2.8
"D&N, LLC",177,35,7,1,0,8,22.9,97.1,0,2.9,1.9,2.2,2.6,2.2,3.5,3,0.4,58.8,55,0.8,43,1.2,2009121.78,57403.48,12,0.3,27.3,14.7,3,3,42.4,70.1,73.1,2.35,2.36,23.6,2.9,7.7,1.6,0.8,21.2,15.7,88.8,89.3,1,9.2,5.5,1.1,25.8,10.9,40.3,2.8
DAKAVIA,178,3,2,0,0,0,0,100,0,0,2,2.3,3,3.3,3.8,3.4,0.9,48.7,38.4,0,2,0.7,88001.43,29333.81,0,0,22.1,25.5,0,4.9,56.6,92.4,61.2,1.28,3.42,14.5,0.3,4.3,6.9,5.4,16.9,24.8,94.9,88.7,0,20.7,4.4,13.3,6.9,9.4,36.8,4.8
